2020-05-23 10:50:53.619 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests], using SpringBootContextLoader
2020-05-23 11:56:34.997 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests], using SpringBootContextLoader
2020-05-23 11:56:35.013 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-23 11:56:35.025 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests]: AnsinWebApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-23 11:56:35.385 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration Ansin.web.AnsinWebApplication for test class Ansin.web.ansinWeb.AnsinWebApplicationTests
2020-05-23 11:56:35.550 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-05-23 11:56:35.572 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6cc4cdb9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@28194a50, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7f2cfe3f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1a5b6f42, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5038d0b5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@32115b28, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2ad48653, org.springframework.test.context.event.EventPublishingTestExecutionListener@6bb4dd34, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7d9f158f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@45efd90f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4b8729ff, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@61710c6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3214ee6]
2020-05-23 11:56:35.908 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - Starting AnsinWebApplicationTests on LAPTOP-P47LA936 with PID 21980 (started by rokenu in C:\eclipse\ansinWeb-workspace\ansinWeb)
2020-05-23 11:56:35.912 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - No active profile set, falling back to default profiles: default
2020-05-23 12:00:30.608 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests], using SpringBootContextLoader
2020-05-23 12:00:30.620 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-23 12:00:30.624 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests]: AnsinWebApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-23 12:00:30.824 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration Ansin.web.AnsinWebApplication for test class Ansin.web.ansinWeb.AnsinWebApplicationTests
2020-05-23 12:00:30.996 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-05-23 12:00:31.024 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6cc4cdb9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@28194a50, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7f2cfe3f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1a5b6f42, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5038d0b5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@32115b28, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2ad48653, org.springframework.test.context.event.EventPublishingTestExecutionListener@6bb4dd34, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7d9f158f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@45efd90f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4b8729ff, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@61710c6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3214ee6]
2020-05-23 12:00:31.378 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - Starting AnsinWebApplicationTests on LAPTOP-P47LA936 with PID 13828 (started by rokenu in C:\eclipse\ansinWeb-workspace\ansinWeb)
2020-05-23 12:00:31.382 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - No active profile set, falling back to default profiles: default
2020-05-23 12:01:36.003 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests], using SpringBootContextLoader
2020-05-23 12:01:36.015 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-23 12:01:36.023 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests]: AnsinWebApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-23 12:01:36.191 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration Ansin.web.AnsinWebApplication for test class Ansin.web.ansinWeb.AnsinWebApplicationTests
2020-05-23 12:01:36.355 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-05-23 12:01:36.383 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6cc4cdb9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@28194a50, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7f2cfe3f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1a5b6f42, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5038d0b5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@32115b28, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2ad48653, org.springframework.test.context.event.EventPublishingTestExecutionListener@6bb4dd34, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7d9f158f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@45efd90f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4b8729ff, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@61710c6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3214ee6]
2020-05-23 12:01:36.779 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - Starting AnsinWebApplicationTests on LAPTOP-P47LA936 with PID 22164 (started by rokenu in C:\eclipse\ansinWeb-workspace\ansinWeb)
2020-05-23 12:01:36.783 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - No active profile set, falling back to default profiles: default
2020-05-23 12:01:39.490 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-23 12:01:40.211 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - Started AnsinWebApplicationTests in 3.767 seconds (JVM running for 5.616)
2020-05-23 12:01:40.811 [SpringContextShutdownHook] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-23 12:04:50.532 [main] INFO  Ansin.web.AnsinWebApplication - Starting AnsinWebApplication on LAPTOP-P47LA936 with PID 15208 (C:\eclipse\ansinWeb-workspace\ansinWeb\target\classes started by rokenu in C:\eclipse\ansinWeb-workspace\ansinWeb)
2020-05-23 12:04:50.532 [main] INFO  Ansin.web.AnsinWebApplication - No active profile set, falling back to default profiles: default
2020-05-23 12:04:52.546 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2020-05-23 12:04:52.558 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2020-05-23 12:04:52.562 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-05-23 12:04:52.562 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-05-23 12:04:52.682 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-05-23 12:04:52.682 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2070 ms
2020-05-23 12:04:53.330 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-23 12:04:53.749 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2020-05-23 12:04:53.821 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2020-05-23 12:04:53.829 [main] INFO  Ansin.web.AnsinWebApplication - Started AnsinWebApplication in 3.796 seconds (JVM running for 4.563)
2020-05-23 12:05:45.761 [http-nio-8088-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-23 12:05:45.761 [http-nio-8088-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-05-23 12:05:45.773 [http-nio-8088-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2020-05-23 12:11:00.160 [main] INFO  Ansin.web.AnsinWebApplication - Starting AnsinWebApplication on LAPTOP-P47LA936 with PID 22364 (C:\eclipse\ansinWeb-workspace\ansinWeb\target\classes started by rokenu in C:\eclipse\ansinWeb-workspace\ansinWeb)
2020-05-23 12:11:00.164 [main] INFO  Ansin.web.AnsinWebApplication - No active profile set, falling back to default profiles: default
2020-05-23 12:11:02.995 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2020-05-23 12:11:03.021 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2020-05-23 12:11:03.021 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-05-23 12:11:03.021 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-05-23 12:11:03.192 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-05-23 12:11:03.195 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2929 ms
2020-05-23 12:11:04.022 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-23 12:11:04.363 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2020-05-23 12:11:04.390 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8088"]
2020-05-23 12:11:04.390 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-05-23 12:11:04.396 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8088"]
2020-05-23 12:11:04.400 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8088"]
2020-05-23 12:11:04.428 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-23 12:13:35.137 [main] INFO  Ansin.web.AnsinWebApplication - Starting AnsinWebApplication on LAPTOP-P47LA936 with PID 14576 (C:\eclipse\ansinWeb-workspace\ansinWeb\target\classes started by rokenu in C:\eclipse\ansinWeb-workspace\ansinWeb)
2020-05-23 12:13:35.141 [main] INFO  Ansin.web.AnsinWebApplication - No active profile set, falling back to default profiles: default
2020-05-23 12:13:38.139 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2020-05-23 12:13:38.171 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2020-05-23 12:13:38.171 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-05-23 12:13:38.171 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-05-23 12:13:38.339 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-05-23 12:13:38.339 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3070 ms
2020-05-23 12:13:39.215 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-23 12:13:39.607 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2020-05-23 12:13:39.679 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2020-05-23 12:13:39.687 [main] INFO  Ansin.web.AnsinWebApplication - Started AnsinWebApplication in 5.433 seconds (JVM running for 7.11)
2020-05-23 12:13:49.210 [http-nio-8088-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-23 12:13:49.212 [http-nio-8088-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-05-23 12:13:49.230 [http-nio-8088-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 18 ms
2020-05-23 12:21:51.013 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests], using SpringBootContextLoader
2020-05-23 12:21:51.028 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-23 12:21:51.028 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [Ansin.web.ansinWeb.AnsinWebApplicationTests]: AnsinWebApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-23 12:21:51.216 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration Ansin.web.AnsinWebApplication for test class Ansin.web.ansinWeb.AnsinWebApplicationTests
2020-05-23 12:21:51.388 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-05-23 12:21:51.419 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6cc4cdb9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@28194a50, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7f2cfe3f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1a5b6f42, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5038d0b5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@32115b28, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2ad48653, org.springframework.test.context.event.EventPublishingTestExecutionListener@6bb4dd34, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7d9f158f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@45efd90f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4b8729ff, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@61710c6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3214ee6]
2020-05-23 12:21:51.778 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - Starting AnsinWebApplicationTests on LAPTOP-P47LA936 with PID 22296 (started by rokenu in C:\eclipse\ansinWeb-workspace\ansinWeb)
2020-05-23 12:21:51.778 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - No active profile set, falling back to default profiles: default
2020-05-23 12:21:54.516 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-23 12:21:55.368 [main] INFO  Ansin.web.ansinWeb.AnsinWebApplicationTests - Started AnsinWebApplicationTests in 3.896 seconds (JVM running for 5.953)
2020-05-23 12:21:55.855 [SpringContextShutdownHook] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-23 12:22:08.054 [main] INFO  Ansin.web.AnsinWebApplication - Starting AnsinWebApplication on LAPTOP-P47LA936 with PID 14432 (C:\eclipse\ansinWeb-workspace\ansinWeb\target\classes started by rokenu in C:\eclipse\ansinWeb-workspace\ansinWeb)
2020-05-23 12:22:08.054 [main] INFO  Ansin.web.AnsinWebApplication - No active profile set, falling back to default profiles: default
2020-05-23 12:22:11.046 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2020-05-23 12:22:11.061 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2020-05-23 12:22:11.061 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-05-23 12:22:11.061 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-05-23 12:22:11.280 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-05-23 12:22:11.280 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3132 ms
2020-05-23 12:22:12.051 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-23 12:22:12.630 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2020-05-23 12:22:12.698 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2020-05-23 12:22:12.714 [main] INFO  Ansin.web.AnsinWebApplication - Started AnsinWebApplication in 5.488 seconds (JVM running for 7.133)
2020-05-23 12:22:52.063 [http-nio-8088-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
